COMPANY,PROMOTER & PROMOTER GROUP (A),PUBLIC (B)
AU Small Finance Bank Limited,22.79,77.21
Auri Grow India Limited,0.0,100.0
Aurionpro Solutions Limited,26.88,73.12
Aurobindo Pharma Limited,51.82,48.18
Aurum PropTech Limited,47.37,52.63
Ausom Enterprise Limited,73.7,26.3
Automotive Axles Limited,71.04,28.96
Autoline Industries Limited,32.6,67.4
Avadh Sugar & Energy Limited,60.39,39.61
Avalon Technologies Limited,44.43,55.57
Avantel Limited,37.08,62.92
Avanti Feeds Limited,43.23,56.77
AVG Logistics Limited,51.2,48.8
Aditya Vision Limited,47.14,52.86
Avonmore Capital & Management Services Limited,58.46,41.54
AVRO INDIA LIMITED,54.07,45.93
AVT Natural Products Limited,75.0,25.0
Awfis Space Solutions Limited,17.01,82.99
Antony Waste Handling Cell Limited,46.09,53.88
AWL Agri Business Limited,56.94,42.73
Axis Bank Limited,8.15,91.85
AXISCADES Technologies Limited,58.05,41.95
Axita Cotton Limited,41.92,58.08
AYM Syntex Limited,65.9,34.1
Azad Engineering Limited,55.84,44.16
Bafna Pharmaceuticals Limited,75.0,25.0
B.A.G Films and Media Limited,46.86,53.14
Baid Finserv Limited,45.71,54.29
Bajaj Auto Limited,54.99,44.92
Bajaj Consumer Care Limited,42.97,57.03
Bajaj Electricals Limited,62.69,37.31
Bajaj Finserv Limited,58.81,41.17
Bajaj Healthcare Limited,59.19,40.81
Bajaj Housing Finance Limited,86.7,13.25
Bajaj Hindusthan Sugar Limited,24.95,74.91
Bajaj Holdings & Investment Limited,51.46,48.54
Indef Manufacturing Limited,69.61,30.39
Bajel Projects Limited,62.53,37.47
Bajaj Finance Limited,54.7,45.21
Shree Tirupati Balajee Agro Trading Company Limited,65.42,34.58
Balaji Telefilms Limited,31.8,68.2
Balaji Amines Limited,54.59,45.41
BALAXI PHARMACEUTICALS LIMITED,65.99,34.01
Balkrishna Paper Mills Limited,59.95,40.05
Balkrishna Industries Limited,58.29,41.71
Ballarpur Industries Limited,51.0,49.0
Balmer Lawrie & Company Limited,0.0,100.0
Bal Pharma Limited,50.86,49.14
Balrampur Chini Mills Limited,42.85,57.15
Balu Forge Industries Limited,54.87,45.13
Banaras Beads Limited,58.14,41.86
Bannari Amman Sugars Limited,58.7,41.3
Banco Products (I) Limited,67.88,32.12
Bandhan Bank Limited,39.74,60.26
Bang Overseas Limited,67.87,32.13
Banka BioLoo Limited,52.2,47.8
Bank of Baroda,63.97,36.03
Bank of India,73.38,26.62
Bansal Wire Industries Limited,77.99,22.01
Banswara Syntex Limited,54.19,45.81
BASF India Limited,73.33,26.67
Bannari Amman Spinning Mills Limited,49.55,50.45
Bata India Limited,50.16,49.84
Bharat Bijlee Limited,33.65,66.35
Black Box Limited,70.11,29.89
The Bombay Burmah Trading Corporation Limited,74.05,25.95
B&B Triplewall Containers Limited,73.76,26.24
Brightcom Group Limited,18.38,81.62
Bcl Industries Limited,58.03,41.97
Brand Concepts Limited,52.11,47.89
Bharat Dynamics Limited,74.93,25.07
Beardsell Limited,52.68,47.32
Mrs. Bectors Food Specialities Limited,49.04,50.96
Bedmutha Industries Limited,57.05,42.95
Bharat Electronics Limited,51.14,48.86
Bella Casa Fashion & Retail Limited,58.34,41.66
Belrise Industries Limited,66.46,33.54
BEML Limited,54.03,45.97
Bhansali Engineering Polymers Limited,57.47,42.53
Berger Paints (I) Limited,74.98,25.02
Best Agrolife Limited,50.44,49.56
Beta Drugs Limited,64.9,35.1
BF Investment Limited,74.13,25.87
BF Utilities Limited,56.72,43.28
Bharatiya Global Infomedia Limited,48.46,51.54
BGR Energy Systems Limited,51.01,48.99
Bhagiradha Chemicals & Industries Limited,19.6,80.4
Bhageria Industries Limited,71.75,28.25
Bhagyanagar India Limited,65.12,34.88
Bhandari Hosiery Exports Limited,31.02,68.98
Bharat Forge Limited,44.07,55.93
Bharat Gears Limited,55.33,44.67
Bharat Rasayan Limited,74.99,25.01
Bharat Seats Limited,74.66,25.34
Bharat Wire Ropes Limited,41.27,58.73
Bharti Airtel Limited,48.87,51.08
Bharti Hexacom Limited,70.0,30.0
Bharat Heavy Electricals Limited,63.17,36.83
Bigbloc Construction Limited,72.81,27.19
Bikaji Foods International Limited,73.92,26.08
Bhartiya International Limited,61.17,38.83
BIL VYAPAR LIMITED,51.28,48.72
Biocon Limited,54.45,45.43
Biofil Chemicals & Pharmaceuticals Limited,46.79,53.21
Birla Cable Limited,66.35,33.65
Birla Corporation Limited,62.9,37.1
Aditya Birla Money Limited,73.53,26.47
BirlaNu Limited,40.57,59.43
Bkm Industries Limited,37.54,62.46
BLACKBUCK LIMITED,25.12,74.88
BEML Land Assets Limited,54.03,45.97
BLB Limited,41.0,59.0
Bliss GVS Pharma Limited,35.36,64.64
B. L. Kashyap and Sons Limited,61.71,38.29
BLS International Services Limited,70.39,29.59
BLS E-Services Limited,68.89,30.89
Blue Blends (I) Limited,53.16,46.84
Blue Chip India Limited,11.25,88.75
Blue Coast Hotels Limited,71.37,28.63
Blue Dart Express Limited,75.0,25.0
Blue Jet Healthcare Limited,79.81,20.19
Blue Star Limited,36.49,63.5
BlueStone Jewellery and Lifestyle Limited,16.36,83.64
Bluspring Enterprises Limited,58.24,41.76
BMW Ventures Limited,73.02,26.98
Bodal Chemicals Limited,57.0,43.0
